ID,日期,總移動距離,總時間,總爬升高度,總下降高度
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
drd68hw8n9,2022/01/02・1 日・,5.2 km,5 h 4 m,"1,427 m",15 m
chen1987760918,2021/10/09・1 日・,13.5 km,11 h 10 m,"1,499 m","1,589 m"
a_sun,2021/08/27・1 日・,6.9 km,1 h 41 m,386 m,375 m
m0926218612,2021/04/02・1 日・,16.7 km,13 h 27 m,"1,760 m","1,735 m"
michi_yu,2021/03/30・1 日・,10.8 km,10 h 8 m,"1,446 m","1,435 m"
c3076597,2021/04/30・1 日・,14.6 km,10 h 46 m,"1,807 m",946 m
bjy79,2021/03/27・1 日・,10 km,6 h 21 m,"1,240 m","1,389 m"
chinhuitw,2021/03/14・1 日・,8.3 km,2 h 44 m,352 m,361 m
Justin,2020/12/26・1 日・,16 km,12 h 39 m,"1,820 m","1,812 m"
josephsmchang,2021/01/11・1 日・,8.6 km,3 h 24 m,385 m,379 m
t7752577525,2020/12/26・1 日・,10.4 km,9 h 37 m,"1,437 m","1,432 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
YU-Ling-Lin,2020/12/12・1 日・,11.6 km,12 h 39 m,"1,495 m","1,502 m"
s5wdmkd5tc,2020/08/24・1 日・,10 km,11 h 18 m,"1,445 m","1,365 m"
fish.albertwu,2020/10/28・1 日・,15.9 km,11 h 14 m,"1,973 m","1,975 m"
applestudent66116020,2020/10/24・1 日・,5.6 km,6 h 39 m,"1,462 m",62 m
mildli0853,2020/10/10・1 日・,14.6 km,11 h 9 m,"1,813 m","1,856 m"
a88096778,2020/09/19・1 日・,6 km,8 h 44 m,"1,527 m",156 m
sh8309,2020/09/01・1 日・,4.9 km,6 h 3 m,"1,183 m",44 m
shunkue.chang,2020/08/24・1 日・,9.3 km,10 h 44 m,"1,323 m","1,365 m"
embezzle950422,2020/08/02・1 日・,13.4 km,10 h 26 m,"1,672 m","1,603 m"
emmahari,2020/07/22・1 日・,21.4 km,12 h 56 m,"2,099 m","2,113 m"
kangela,2019/02/28・1 日・,34.3 km,6 h 3 m,"1,366 m",49 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
wenbin.jung,2019/08/20・1 日・,9.5 km,2 h 44 m,511 m,488 m
jerry841111,2017/12/16・1 日・,8 km,8 h 21 m,"1,309 m","1,065 m"
t16345,2021/03/23・1 日・,12.2 km,7 h 33 m,434 m,"1,835 m"
weichitsao130,2025/06/07・1 日・,26.4 km,11 h 49 m,"2,766 m","2,761 m"
pao90440,2024/10/28・1 日・,12 km,7 h 20 m,"1,665 m","1,647 m"
mtyao105,2023/10/15・1 日・,12.9 km,10 h 3 m,"1,490 m","1,498 m"
ctb1677,2022/10/02・1 日・,26.3 km,14 h 43 m,"2,522 m","2,525 m"
chungyenwu1733158257,2024/12/07・1 日・,17 km,11 h 34 m,"2,336 m","1,993 m"
w292854531663467202,2024/09/15・1 日・,21.5 km,16 h 39 m,"2,344 m","2,342 m"
6-hxn-2-g-5-ppb,2023/04/16・1 日・,25.8 km,9 h 55 m,"2,870 m","2,876 m"
cythia1030,2020/08/17・1 日・,8.4 km,2 h 49 m,486 m,529 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
maiy3450,2023/04/02・1 日・,21.1 km,14 h 26 m,"2,196 m","2,125 m"
licca1672462158,2023/05/29・1 日・,6.7 km,8 h 17 m,703 m,239 m
darkblue_remote,2022/08/27・1 日・,12.9 km,4 h 36 m,"1,554 m","1,410 m"
chinovete,2022/08/21・1 日・,14.7 km,12 h 8 m,"1,777 m","1,591 m"
hsurui141,2022/07/16・1 日・,12.4 km,15 h 4 m,"1,395 m","1,601 m"
f61248,2021/12/24・1 日・,22.1 km,8 h 39 m,"2,354 m","2,054 m"
v8312002,2021/11/26・1 日・,19.1 km,10 h 12 m,"1,890 m","1,892 m"
vectraman,2021/09/19・1 日・,24.3 km,15 h 6 m,"2,253 m","2,231 m"
meng9971,2020/10/24・1 日・,19 km,13 h 26 m,920 m,575 m
dls1016,2025/06/23・1 日・,11.2 km,9 h 11 m,"1,506 m","1,501 m"
dls1016,2024/06/21・1 日・,38.1 km,4 h 32 m,"1,137 m","1,056 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
rogerkuma0109,2025/06/15・1 日・,9.7 km,8 h 34 m,"1,419 m","1,414 m"
ym5ihfc7fe,2023/05/01・1 日・,12.9 km,9 h 24 m,"1,548 m","1,541 m"
w292854531663467202,2025/06/01・1 日・,18.3 km,12 h 14 m,"2,027 m","2,034 m"
